position,module
103.871_30.325,1
103.870_30.330,1
103.888_30.297,1
103.881_30.308,1
103.876_30.306,1
103.883_30.299,1
103.877_30.312,1
103.875_30.311,1
103.874_30.316,1
103.879_30.303,1
103.873_30.316,1
103.887_30.301,1
103.857_30.345,1
103.856_30.343,1
103.856_30.336,1
103.855_30.339,1
103.856_30.338,1
103.857_30.329,1
103.856_30.340,1
103.870_30.307,1
103.872_30.299,1
103.869_30.307,1
103.870_30.302,1
103.874_30.293,1
103.873_30.295,1
103.875_30.289,1
103.879_30.285,1
103.871_30.297,1
103.871_30.303,1
103.863_30.320,1
103.864_30.315,1
103.865_30.311,1
103.867_30.306,1
103.869_30.302,1
103.862_30.324,1
103.866_30.311,1
103.864_30.316,1
103.870_30.293,1
103.865_30.313,1
103.868_30.302,1
103.871_30.289,1
103.861_30.327,1
103.864_30.318,1
103.862_30.322,1
103.868_30.301,1
103.867_30.305,1
103.866_30.309,1
103.865_30.309,1
103.867_30.303,1
103.869_30.297,1
103.871_30.293,1
103.866_30.308,1
103.854_30.334,1
103.853_30.334,1
103.851_30.330,1
103.853_30.330,1
103.854_30.339,1
103.855_30.321,1
103.850_30.326,1
103.852_30.334,1
103.854_30.330,1
103.858_30.344,1
103.861_30.329,1
103.859_30.349,1
103.858_30.340,1
103.859_30.335,1
103.859_30.339,1
103.861_30.342,1
103.860_30.347,1
103.860_30.346,1
103.865_30.323,1
103.862_30.332,1
103.860_30.342,1
103.861_30.337,1
103.864_30.327,1
103.863_30.332,1
103.875_30.293,1
103.879_30.290,1
103.893_30.284,1
103.872_30.298,1
103.878_30.290,1
103.870_30.306,1
103.871_30.301,1
103.875_30.294,1
103.883_30.287,1
103.870_30.311,1
103.872_30.283,1
103.875_30.273,1
103.873_30.283,1
103.872_30.287,1
103.874_30.279,1
103.874_30.278,1
103.871_30.313,1
103.874_30.309,1
103.868_30.321,1
103.864_30.337,1
103.866_30.329,1
103.869_30.315,1
103.867_30.330,1
103.867_30.325,1
103.863_30.343,1
103.862_30.348,1
103.869_30.317,1
103.871_30.316,1
103.873_30.307,1
103.872_30.297,1
103.876_30.293,1
103.874_30.302,1
103.875_30.298,1
103.873_30.287,1
103.872_30.311,1
103.872_30.308,1
103.865_30.328,1
103.863_30.337,1
103.864_30.333,1
103.866_30.312,1
103.869_30.308,1
103.867_30.318,1
103.868_30.313,1
103.865_30.316,1
103.863_30.325,1
103.867_30.307,1
103.859_30.343,1
103.871_30.291,1
103.860_30.334,1
103.870_30.297,1
103.864_30.307,1
103.864_30.298,1
103.871_30.307,1
103.863_30.327,1
103.870_30.312,1
103.870_30.318,1
103.866_30.316,1
103.864_30.322,1
103.867_30.317,1
103.867_30.312,1
103.878_30.281,1
103.880_30.272,1
103.882_30.263,1
103.877_30.289,1
103.885_30.254,1
103.883_30.259,1
103.895_30.248,1
103.889_30.251,1
103.912_30.243,1
103.878_30.264,1
103.881_30.258,1
103.877_30.268,1
103.861_30.352,1
103.861_30.348,1
103.861_30.353,1
103.862_30.344,1
103.866_30.326,1
103.864_30.335,1
103.868_30.317,1
103.862_30.342,1
103.862_30.351,1
103.861_30.347,1
103.863_30.329,1
103.862_30.333,1
103.863_30.355,1
103.861_30.338,1
103.862_30.328,1
103.863_30.324,1
103.863_30.314,1
103.862_30.319,1
103.864_30.309,1
103.865_30.310,1
103.865_30.305,1
103.857_30.340,1
103.859_30.330,1
103.891_30.289,1
103.916_30.282,1
103.903_30.285,1
103.889_30.293,1
103.869_30.300,1
103.874_30.296,1
103.879_30.293,1
103.865_30.304,1
103.903_30.281,1
103.912_30.277,1
103.894_30.286,1
103.875_30.277,1
103.876_30.272,1
103.878_30.268,1
103.881_30.264,1
103.874_30.281,1
103.873_30.285,1
103.872_30.290,1
103.871_30.290,1
103.871_30.294,1
103.870_30.298,1
103.858_30.345,1
103.857_30.341,1
103.860_30.328,1
103.859_30.331,1
103.858_30.341,1
103.859_30.333,1
103.861_30.326,1
103.858_30.336,1
103.862_30.321,1
103.865_30.327,1
103.864_30.332,1
103.866_30.323,1
103.870_30.313,1
103.873_30.310,1
103.868_30.318,1
103.862_30.337,1
103.880_30.304,1
103.884_30.302,1
103.889_30.300,1
103.876_30.308,1
103.874_30.311,1
103.872_30.317,1
103.870_30.321,1
103.872_30.320,1
103.873_30.315,1
103.870_30.329,1
103.863_30.334,1
103.861_30.339,1
103.865_30.329,1
103.860_30.343,1
103.868_30.325,1
103.870_30.316,1
103.872_30.307,1
103.864_30.343,1
103.866_30.334,1
103.863_30.352,1
103.964_30.296,1
103.982_30.294,1
103.989_30.294,1
103.945_30.298,1
103.995_30.293,1
103.891_30.297,1
103.903_30.298,1
103.886_30.298,1
103.926_30.300,1
103.914_30.299,1
103.860_30.327,1
103.862_30.318,1
103.860_30.318,1
103.863_30.308,1
103.860_30.323,1
103.862_30.314,1
103.861_30.323,1
103.864_30.310,1
103.869_30.295,1
103.867_30.298,1
103.868_30.304,1
103.869_30.299,1
103.866_30.304,1
103.870_30.291,1
103.863_30.315,1
103.874_30.299,1
103.868_30.306,1
103.877_30.294,1
103.876_30.298,1
103.870_30.303,1
103.872_30.303,1
103.860_30.336,1
103.859_30.342,1
103.859_30.346,1
103.859_30.344,1
103.864_30.320,1
103.862_30.327,1
103.861_30.333,1
103.886_30.308,1
103.881_30.311,1
103.890_30.306,1
103.877_30.315,1
103.872_30.338,1
103.873_30.334,1
103.874_30.329,1
103.875_30.320,1
103.874_30.325,1
103.926_30.291,1
103.920_30.293,1
103.915_30.294,1
103.905_30.297,1
103.878_30.311,1
103.880_30.307,1
103.876_30.316,1
103.883_30.304,1
103.893_30.300,1
103.867_30.351,1
103.867_30.333,1
103.865_30.341,1
103.866_30.360,1
103.869_30.324,1
103.867_30.342,1
103.868_30.324,1
103.868_30.315,1
103.907_30.301,1
103.931_30.290,1
103.901_30.302,1
103.895_30.303,1
103.883_30.305,1
103.919_30.296,1
103.877_30.302,1
